token_id,balance,length
231,1988,4
232,1965,4
233,1199,2
234,2933,6
235,2654,6
236,2017,4
237,2836,6
238,2084,4
239,3014,6
240,1101,2
241,3267,7
242,600,1
243,2349,5
244,4832,10
245,2590,6
246,4889,10
247,4685,10
248,3654,8
249,4705,10
250,3722,8
251,290,1
252,1918,4
253,3879,8
254,3811,8
255,2275,5
256,462,1
257,4272,9
258,3035,6
259,4772,10
260,97,1
261,1625,3
262,263,1
263,2397,5
264,944,2
265,848,2
266,2753,6
267,2920,6
268,276,1
269,4314,9
270,1755,3
271,1179,2
272,4364,9
273,3088,7
274,4215,9
275,2234,5
276,2864,6
277,2129,4
278,3526,7
279,718,2
280,2395,5
281,771,2
282,4788,10
283,1126,2
284,4365,9
285,1412,3
286,427,1
287,526,1
288,507,1
289,2413,5
290,4853,10
291,787,2
292,3262,7
293,635,2
294,2528,6
295,1979,4
296,1955,4
297,4948,11
298,1966,4
299,2018,4
300,4605,10
301,4288,9
302,4170,9
303,4995,11
304,4384,9
305,2509,5
306,2523,6
307,1880,4
308,3947,8
309,2392,5
310,2384,5
311,2434,5
312,312,1
313,2629,6
314,2505,5
315,1274,3
316,2514,6
317,4521,9
318,1922,4
319,3949,8
320,4021,9
321,4404,9
322,145,1
323,820,2
324,1755,3
325,3555,7
326,328,1
327,2292,5
328,3623,8
329,4420,9
330,4586,10
331,3643,8
332,1673,3
333,544,1
334,2777,6
335,1304,3
336,3314,7
337,2491,5
338,887,2
339,4935,10
340,3582,8
341,3397,7
342,2620,6
343,1071,2
344,2097,4
345,520,1
346,2913,6
347,4400,9
348,4166,9
349,3299,7
350,4860,10
351,2000,4
352,1484,3
353,4015,9
354,2004,4
355,3948,8
356,4016,9
357,4037,9
358,1002,2
359,789,2
360,947,2
361,2090,4
362,442,1
363,4257,9
364,10,1
365,669,2
366,4990,10
367,2538,6
368,1148,2
369,2962,6
370,95,1
371,55,1
372,2196,5
373,193,1
374,1199,3
375,4485,9
376,1202,3
377,3284,7
378,2794,6
379,239,1
380,2076,4
381,3169,7
382,1653,3
383,3108,7
384,2503,6
385,838,2
386,286,1
387,209,1
388,414,1
389,1445,3
390,982,2
391,2576,6
392,2883,6
393,1404,3
394,2838,6
395,4,1
396,3996,9
397,3421,7
398,3766,8
399,3796,8
400,1117,2
401,1844,4
402,1839,4
403,3121,7
404,1953,4
405,4533,10
406,272,1
407,4538,10
408,3045,7
409,2714,6
410,2954,6
411,2135,5
412,3562,8
413,1882,4
414,2752,6
415,2375,5
416,1840,4
417,4943,10
418,2696,6
419,3456,7
420,668,2
421,3162,7
422,797,2
423,3431,7
424,1177,3
425,1394,3
426,2468,5
427,4877,10
428,4106,9
429,1355,3
430,412,1
431,1173,3
432,1330,3
433,332,1
434,431,1
435,738,2
436,4798,10
437,2825,6
438,2806,6
439,739,2
440,4470,9
441,4137,9
442,2763,6
443,839,2
444,1377,3
445,2763,6
446,91,1
447,529,1
448,1681,4
449,2784,6
450,2147,5
451,469,1
452,2525,6
453,3156,7
454,1326,3
455,4061,9
456,449,1
457,2894,6
458,2572,6
459,146,1
460,3395,7
461,4692,10
462,3658,8
463,1327,3
464,2676,6
465,4421,9
466,781,2
467,4949,10
468,1763,4
469,298,1
470,4470,9
471,123,1
472,4457,9
473,3261,7
474,937,2
475,4552,10
476,812,2
477,4210,9
478,1776,4
479,4117,9
480,152,1
481,4345,9
482,352,1
483,1307,3
484,1690,4
485,1785,4
486,1304,3
487,621,2
488,4523,10
489,1009,2
490,352,1
491,15,1
492,237,1
493,1444,3
494,4976,10
495,2311,5
496,2965,7
497,2690,6
498,2619,6
499,4231,9
500,3517,8
501,1452,3
502,1755,4
503,3400,7
504,1073,3
505,4262,9
506,2577,6
507,218,1
508,3069,7
509,440,1
510,3035,7
511,1966,4
512,1093,3
513,1551,3
514,2676,6
515,917,2
516,2997,7
517,1858,4
518,1076,3
519,1468,3
520,4014,9
521,3822,8
522,4630,10
523,3552,8
524,2313,5
525,3780,8
526,146,1
527,648,2
528,2324,5
529,321,1
530,968,2
531,716,2
532,2169,5
533,1734,4
534,1360,3
535,2334,5
536,4685,10
537,4128,9
538,2455,6
539,1066,3
540,4875,10
541,3482,8
542,3401,7
543,2874,6
544,81,1
545,2914,7
546,4233,9
547,1990,4
548,2843,6
549,945,2
550,2602,6
551,184,1
552,161,1
553,2371,5
554,4760,10
555,2851,6
556,1858,4
557,656,2
558,2068,5
559,4649,10
560,4843,10
561,4385,9
562,2871,6
563,3677,8
564,4319,9
565,475,2
566,821,2
567,3385,7
568,2422,5
569,3247,7
570,4546,10
571,409,1
572,4340,9
573,1435,3
574,164,1
575,4565,10
576,1695,4
577,4445,9
578,2237,5
579,4065,9
580,2856,6
581,4933,10
582,716,2
583,4828,10
584,4901,10
585,1856,4
586,792,2
587,2453,5
588,2141,5
589,1681,4
590,4837,10
591,3999,8
592,1474,3
593,369,1
594,361,1
595,4262,9
596,362,1
597,76,1
598,391,1
599,2596,6
600,3873,8
601,2248,5
602,2824,6
603,1684,4
604,3078,7
605,2951,7
606,3051,7
607,3886,8
608,3041,7
609,1799,4
610,4595,10
611,3890,8
612,4831,10
613,2845,6
614,621,2
615,3461,7
616,2219,5
617,4109,9
618,4873,10
619,14,1
620,209,1
621,2241,5
622,4057,9
623,574,2
624,4167,9
625,4947,10
626,4685,10
627,1470,3
628,32,1
629,1439,3
630,1169,3
631,1729,4
632,3053,7
633,97,1
634,3286,7
635,4747,10
636,4566,10
637,2993,7
638,183,1
639,3261,7
640,3519,8
641,3683,8
642,4764,10
643,2024,4
644,1901,4
645,2887,6
646,1655,4
647,896,2
648,713,2
649,1311,3
650,3924,8
651,3225,7
652,875,2
653,4874,10
654,3409,7
655,519,2
656,1277,3
657,23,1
658,1781,4
659,4383,9
660,4213,9
661,656,2
662,4479,9
663,655,2
664,1607,4
665,3427,7
666,2245,5
667,3418,7
668,3762,8
669,4827,10
670,257,1
671,3388,7
672,848,2
673,1510,3
674,2843,6
675,697,2
676,962,2
677,4766,10
678,2290,5
679,1718,4
680,2437,5
681,952,2
682,3539,8
683,2983,7
684,1957,4
685,1888,4
686,2467,5
687,2572,6
688,4202,9
689,2992,7
690,3996,8
691,654,2
692,2990,7
693,1939,4
694,2505,6
695,989,2
696,3271,7
697,2142,5
698,866,2
699,4273,9
700,2969,7
701,3271,7
702,990,2
703,2192,5
704,3328,7
705,296,1
706,2923,6
707,2911,6
708,1357,3
709,3249,7
710,1387,3
711,4546,10
712,2987,7
713,2053,5
714,3148,7
715,2805,6
716,770,2
717,4232,9
718,766,2
719,2642,6
720,283,1
721,3284,7
722,3067,7
723,1229,3
724,4943,10
725,1809,4
726,164,1
727,981,2
728,4577,10
729,1248,3
730,951,2
731,1689,4
732,3946,8
733,4190,9
734,3815,8
735,20,1
736,3373,7
737,822,2
738,1688,4
739,2806,6
740,4795,10
741,2967,7
742,703,2
743,2546,6
744,2822,6
745,2630,6
746,2433,5
747,4501,9
748,1860,4
749,1626,4
750,3121,7
751,4632,10
752,1943,4
753,130,1
754,4337,9
755,1336,3
756,2706,6
757,4526,10
758,3237,7
759,1652,4
760,1815,4
761,3946,8
762,1974,4
763,4136,9
764,1277,3
765,247,1
766,4821,10
767,1098,3
768,2272,5
769,3031,7
770,3261,7
771,2257,5
772,1536,3
773,4482,9
774,3641,8
775,190,1
776,4860,10
777,3409,8
778,3983,8
779,93,1
780,999,3
781,3923,8
782,1194,3
783,2515,6
784,2090,5
785,1598,4
786,2234,5
787,2714,6
788,4767,10
789,3779,8
790,2756,6
791,4181,9
792,4234,9
793,979,2
794,4370,9
795,1729,4
796,1978,4
797,2893,6
798,1946,4
799,1227,3
800,1210,3
801,685,2
802,306,1
803,3733,8
804,2807,6
805,1592,4
806,265,1
807,1272,3
808,3303,7
809,2790,6
810,2211,5
811,4976,10
812,420,1
813,3737,8
814,1308,3
815,3656,8
816,760,2
817,4868,10
818,1990,5
819,2092,5
820,3517,8
821,616,2
822,625,2
823,3544,8
824,3508,8
825,1212,3
826,4069,9
827,8,1
828,1372,3
829,622,2
830,3417,8
831,1734,4
832,3543,8
833,2266,5
834,1369,3
835,4407,9
836,4489,9
837,4889,10
838,3542,8
839,3171,7
840,3720,8
841,3067,7
842,3511,8
843,2354,5
844,308,1
845,315,1
846,3518,8
847,3394,7
848,3007,7
849,2763,6
850,2622,6
851,925,2
852,4556,10
853,2628,6
854,1504,3
855,3400,7
856,4440,9
857,3482,8
858,3282,7
859,4993,10
860,193,1
861,3464,8
862,2447,5
863,4671,10
864,3317,7
865,3128,7
866,4487,9
867,1511,3
868,2040,5
869,1577,4
870,1858,4
871,2363,5
872,4385,9
873,2892,6
874,2671,6
875,3889,8
876,1540,3
877,4655,10
878,1929,4
879,861,2
880,3058,7
881,1524,3
882,1147,3
883,1369,3
884,2243,5
885,4389,9
886,941,2
887,2230,5
888,1920,4
889,4684,10
890,2538,6
891,4478,9
892,2955,7
893,3732,8
894,3172,7
895,4271,9
896,37,1
897,3907,8
898,2031,5
899,3938,8
900,1669,4
901,1520,3
902,2765,6
903,1183,3
904,3858,8
905,989,2
906,532,2
907,1634,4
908,4671,10
909,886,2
910,1260,3
911,1059,3
912,4703,10
913,4838,10
914,3061,7
915,3521,8
916,1494,3
917,4137,9
918,4745,10
919,727,2
920,4131,9
921,4113,9
922,3969,8
923,568,2
924,2569,6
925,3020,7
926,2848,6
927,4639,10
928,4686,10
929,167,1
930,1803,4
931,105,1
932,2765,6
933,4559,10
934,2990,7
935,836,2
936,4813,10
937,1123,3
938,2902,6
939,1197,3
940,181,1
941,3879,8
942,4661,10
943,3186,7
944,2940,6
945,4123,9
946,4062,9
947,3894,8
948,842,2
949,1706,4
950,4626,10
951,427,1
952,2014,4
953,4058,9
954,850,2
955,3474,7
956,1199,3
957,451,1
958,292,1
959,3708,8
960,2003,4
961,3305,7
962,4388,9
963,2053,5
964,1576,4
965,4071,9
966,4690,10
967,664,2
968,4131,9
969,3312,7
970,716,2
971,1160,3
972,4951,10
973,3130,7
974,2789,6
975,212,1
976,1873,4
977,49,1
978,3022,7
979,150,1
980,1730,4
981,2716,6
982,64,1
983,3603,8
984,4968,10
985,1635,4
986,3377,7
987,1565,4
988,2385,5
989,2169,5
990,571,2
991,3440,7
992,3992,8
993,2707,6
994,1753,4
995,810,2
996,1132,3
997,1778,4
998,2956,6
999,3657,8
1000,4221,9
1001,1298,3
1002,1446,3
1003,3745,8
1004,19,1
1005,2875,6
1006,4112,9
1007,4700,10
1008,3853,8
1009,315,1
1010,1213,3
1011,2080,5
1012,4070,9
1013,4004,9
1014,1446,3
1015,4402,9
1016,2815,6
1017,1887,4
1018,714,2
1019,2653,6
1020,4401,9
1021,2095,5
1022,952,2
1023,1272,3
1024,4704,10
1025,4149,9
1026,2091,5
1027,2993,7
1028,2424,5
1029,3803,8
1030,4565,10
1031,3213,7
1032,615,2
1033,1257,3
1034,1764,4
1035,1744,4
1036,4550,10
1037,3463,7
1038,1488,3
1039,890,2
1040,4881,10
1041,3686,8
1042,2776,6
1043,3841,8
1044,3039,7
1045,311,1
1046,4443,9
1047,1230,3
1048,3999,8
1049,2117,5
1050,4268,9
1051,1543,3
1052,4875,10
1053,3915,8
1054,3084,7
1055,2820,6
1056,1249,3
1057,4452,9
1058,924,2
1059,3665,8
1060,1831,4
1061,2985,6
1062,2990,7
1063,1156,3
1064,791,2
1065,1770,4
1066,1452,3
1067,1671,4
1068,1096,3
1069,3981,8
1070,4972,10
1071,3010,7
1072,1249,3
1073,267,1
1074,1451,3
1075,2433,5
1076,2135,5
1077,2212,5
1078,644,2
1079,390,1
1080,56,1
1081,2486,5
1082,2236,5
1083,3820,8
1084,1647,4
1085,4334,9
1086,1452,3
1087,827,2
1088,1072,3
1089,2384,5
1090,3452,7
1091,444,1
1092,4792,10
1093,2436,5
1094,4652,10
1095,1991,4
1096,4262,9
1097,35,1
1098,3562,8
1099,3195,7
1100,2068,5
1101,1125,3
1102,897,2
1103,4867,10
1104,2433,5
1105,3026,7
1106,3546,8
1107,2427,5
1108,2475,5
1109,307,1
1110,4427,9
1111,972,2
1112,1309,3
1113,2847,6
1114,382,1
1115,902,2
1116,4886,10
1117,2569,6
1118,3059,7
1119,364,1
1120,469,1
1121,813,2
1122,3148,7
1123,3855,8
1124,743,2
1125,349,1
1126,1426,3
1127,3425,7
1128,3907,8
1129,4334,9
1130,832,2
1131,4804,10
1132,2484,6
1133,4318,9
1134,2177,5
1135,661,2
1136,243,1
1137,582,2
1138,2163,5
1139,1956,4
1140,3351,7
1141,650,2
1142,1101,3
1143,988,2
1144,3837,8
1145,841,2
1146,4077,9
1147,1327,3
1148,458,1
1149,1095,3
1150,3375,7
1151,280,1
1152,4361,9
1153,111,1
1154,1610,4
1155,3941,8
1156,4282,9
1157,1062,3
1158,4392,9
1159,3126,7
1160,3555,8
1161,2751,6
1162,3338,7
1163,723,2
1164,3959,8
1165,2091,5
1166,4881,10
1167,2064,5
1168,4215,9
1169,1225,3
1170,2670,6
1171,4936,10
1172,4028,9
1173,1436,3
1174,1275,3
1175,4763,10
1176,2678,6
1177,1234,3
1178,1586,4
1179,3298,7
1180,4532,10
1181,2648,6
1182,3526,8
1183,904,2
1184,2316,5
1185,2808,6
1186,4657,10
1187,3117,7
1188,2604,6
1189,2362,5
1190,3848,8
1191,1733,4
1192,1817,4
1193,3135,7
1194,2417,5
1195,4084,9
1196,4937,10
1197,4695,10
1198,1056,3
1199,1547,4
1200,3263,7
1201,3199,7
1202,4424,9
1203,4557,10
1204,1799,4
1205,938,2
1206,1493,3
1207,1570,4
1208,1286,3
1209,1512,4
1210,3603,8
1211,3480,8
1212,4454,9
1213,3466,8
1214,3739,8
1215,2990,7
1216,813,2
1217,4494,9
1218,4680,10
1219,277,1
1220,4172,9
1221,4050,9
1222,558,2
1223,2124,5
1224,2168,5
1225,4315,9
1226,818,2
1227,1345,3
1228,2189,5
1229,2979,6
1230,2781,6
1231,1951,4
1232,3565,8
1233,1230,3
1234,3749,8
1235,3006,7
1236,1283,3
1237,1685,4
1238,1114,3
1239,517,1
1240,2242,5
1241,3716,8
1242,4036,9
1243,2042,5
1244,854,2
1245,2789,6
1246,3032,7
1247,2924,6
1248,1766,4
1249,974,2
1250,4240,9
1251,1149,3
1252,3652,8
1253,2747,6
1254,3255,7
1255,4923,10
1256,4282,9
1257,3571,8
1258,4116,9
1259,2957,6
1260,3546,8
1261,3511,8
1262,2498,5
1263,2317,5
1264,2716,6
1265,4301,9
1266,3155,7
1267,2456,5
1268,4979,10
1269,904,2
1270,442,1
1271,1687,4
1272,4209,9
1273,2540,6
1274,2047,5
1275,3950,8
1276,1011,2
1277,3606,8
1278,157,1
1279,4169,9
1280,2299,5
1281,1669,4
1282,914,2
1283,4904,10
1284,3079,7
1285,2953,6
1286,2406,5
1287,270,1
1288,1615,4
1289,344,1
1290,3379,7
1291,288,1
1292,1891,4
1293,4949,10
1294,4568,10
1295,4956,10
1296,120,1
1297,4685,10
1298,1812,4
1299,2290,5
1300,70,1
1301,2199,5
1302,103,1
1303,3527,8
1304,144,1
1305,4666,10
1306,332,1
1307,1513,3
1308,3470,7
1309,4651,10
1310,793,2
1311,4968,10
1312,759,2
1313,4271,9
1314,3397,7
1315,2013,5
1316,4291,9
1317,4360,9
1318,208,1
1319,825,2
1320,238,1
1321,1205,3
1322,4070,9
1323,3786,8
1324,398,1
1325,666,2
1326,3099,7
1327,3780,8
1328,3635,8
1329,3220,7
1330,2277,5
1331,2588,6
1332,1469,3
1333,3488,8
1334,1677,4
1335,1480,3
1336,1750,4
1337,4357,9
1338,4662,10
1339,3174,7
1340,3906,8
1341,3651,8
1342,988,2
1343,2294,5
1344,3989,8
1345,647,2
1346,3851,8
1347,3347,7
1348,2607,6
1349,411,1
1350,1844,4
1351,1038,3
1352,3915,8
1353,1068,3
1354,1214,3
1355,2403,5
1356,4019,9
1357,2616,6
1358,1004,2
1359,3872,8
1360,2473,5
1361,838,2
1362,3465,7
1363,3857,8
1364,1127,3
1365,1189,3
1366,4579,10
1367,2878,6
1368,191,1
1369,299,1
1370,4670,10
1371,3558,8
1372,2238,5
1373,1823,4
1374,1854,4
1375,2046,5
1376,855,2
1377,3988,8
1378,1499,3
1379,543,2
1380,1745,4
1381,3104,7
1382,2991,7
1383,2658,6
1384,448,1
1385,662,2
1386,807,2
1387,4258,9
1388,2229,5
1389,1465,3
1390,325,1
1391,2313,5
1392,1341,3
1393,1343,3
1394,4872,10
1395,3013,7
1396,3579,8
1397,650,2
1398,4187,9
1399,3079,7
1400,3043,7
1401,3687,8
1402,882,2
1403,4763,10
1404,991,2
1405,4618,10
1406,503,1
1407,507,1
1408,2004,5
1409,2221,5
1410,2479,6
1411,2602,6
1412,9,1
1413,4059,9
1414,3575,8
1415,1497,4
1416,4243,9
1417,240,1
1418,2477,6
1419,3563,8
1420,3009,7
1421,2953,6
1422,3795,8
1423,259,1
1424,835,2
1425,443,1
1426,2051,5
1427,609,2
1428,2752,6
1429,2838,6
1430,1223,3
1431,2851,6
1432,2511,6
1433,2575,6
1434,3006,7
1435,3904,8
1436,4909,10
1437,3725,8
1438,2246,5
1439,2036,5
1440,896,2
1441,2651,6
1442,941,2
1443,3751,8
1444,2708,6
1445,1826,4
1446,2770,6
1447,441,1
1448,161,1
1449,4547,10
1450,3399,7
1451,3787,8
1452,3087,7
1453,526,2
1454,2662,6
1455,1264,3
1456,4093,9
1457,1022,3
1458,3334,7
1459,4320,9
1460,11,1
1461,2273,5
1462,2381,5
1463,2015,5
1464,4875,10
1465,2456,5
1466,4469,9
1467,1909,4
1468,1830,4
1469,312,1
1470,4031,9
1471,3026,7
1472,1068,3
1473,2874,6
1474,1391,3
1475,2548,6
1476,841,2
1477,439,1
1478,261,1
1479,3714,8
1480,3586,8
1481,4038,9
1482,3449,7
1483,2076,5
1484,4430,9
1485,4198,9
1486,749,2
1487,855,2
1488,4684,10
1489,4672,10
1490,2805,6
1491,3675,8
1492,3462,7
1493,1208,3
1494,2210,5
1495,4327,9
1496,1211,3
1497,3109,7
1498,3204,7
1499,3560,8
1500,4784,10
1501,4523,10
1502,4138,9
1503,2096,5
1504,4655,10
1505,2925,6
1506,2298,5
1507,2235,5
1508,1012,3
1509,4230,9
1510,3742,8
1511,2393,5
1512,1768,4
1513,2342,5
1514,1622,4
1515,4922,10
1516,1980,4
1517,683,2
1518,4777,10
1519,2360,5
1520,756,2
1521,4473,9
1522,4527,10
1523,1035,3
1524,3509,8
1525,72,1
1526,1241,3
1527,3623,8
1528,4337,9
1529,1693,4
1530,3680,8
1531,3789,8
1532,372,1
1533,1232,3
1534,3122,7
1535,1550,4
1536,2167,5
1537,3683,8
1538,937,2
1539,2350,5
1540,1619,4
1541,3892,8
1542,2677,6
1543,1166,3
1544,1401,3
1545,4976,10
1546,3688,8
1547,86,1
1548,2645,6
1549,4759,10
1550,932,2
1551,3979,8
1552,429,1
1553,4019,9
1554,3012,7
1555,3826,8
1556,4647,10
1557,4144,9
1558,368,1
1559,1198,3
1560,2032,5
1561,2078,5
1562,199,1
1563,225,1
1564,3369,7
1565,2031,5
1566,1000,2
1567,69,1
1568,3499,8
1569,1525,4
1570,4486,9
1571,1581,4
1572,273,1
1573,3782,8
1574,3298,7
1575,1347,3
1576,2458,5
1577,4315,9
1578,1107,3
1579,4756,10
1580,538,2
1581,1897,4
1582,2676,6
1583,2116,5
1584,3442,7
1585,2694,6
1586,4945,10
1587,3023,7
1588,3522,8
1589,1499,3
1590,1478,3
1591,4449,9
1592,1483,3
1593,445,1
1594,1418,3
1595,1977,4
1596,2596,6
1597,3481,8
1598,699,2
1599,1665,4
1600,211,1
1601,4228,9
1602,2383,5
1603,1870,4
1604,2477,6
1605,482,2
1606,4866,10
1607,139,1
1608,3271,7
1609,806,2
1610,1188,3
1611,4981,10
1612,3463,7
1613,2125,5
1614,4822,10
1615,943,2
1616,4053,9
1617,2204,5
1618,2161,5
1619,2878,6
1620,3226,7
1621,2183,5
1622,4331,9
1623,1765,4
1624,2,1
1625,2121,5
1626,1148,3
1627,4691,10
1628,3031,7
1629,1612,4
1630,2747,6
1631,884,2
1632,4039,9
1633,3122,7
1634,4913,10
1635,3773,8
1636,1553,4
1637,2613,6
1638,2174,5
1639,1148,3
1640,1872,4
1641,430,1
1642,3499,8
1643,1328,3
1644,664,2
1645,158,1
1646,3850,8
1647,3236,7
1648,179,1
1649,4355,9
1650,863,2
1651,1901,4
1652,3855,8
1653,3652,8
1654,4691,10
1655,3658,8
1656,1980,5
1657,4673,10
1658,385,1
1659,1840,4
1660,4173,9
1661,2666,6
1662,1216,3
1663,4249,9
1664,1678,4
1665,1494,3
1666,3069,7
1667,3066,7
1668,4817,10
1669,1888,4
1670,4299,9
1671,1141,3
1672,3563,8
1673,3424,7
1674,2534,6
1675,804,2
1676,1800,4
1677,1764,4
1678,4470,9
1679,2446,5
1680,3789,8
1681,82,1
1682,2101,5
1683,97,1
1684,4306,9
1685,2458,6
1686,3702,8
1687,156,1
1688,2096,5
1689,2251,5
1690,592,2
1691,2260,5
1692,4658,10
1693,95,1
1694,912,2
1695,2970,7
1696,790,2
1697,4243,9
1698,4638,10
1699,3599,8
1700,1012,3
1701,429,1
1702,4612,10
1703,3064,7
1704,4761,10
1705,4244,9
1706,1614,4
1707,28,1
1708,2196,5
1709,1391,3
1710,2445,5
1711,1024,3
1712,2559,6
1713,4720,10
1714,3494,8
1715,2439,5
1716,331,1
1717,2179,5
1718,3522,8
1719,4437,9
1720,4775,10
1721,1171,3
1722,3243,7
1723,3955,8
1724,3121,7
1725,2809,6
1726,817,2
1727,1883,4
1728,2283,5
1729,3782,8
1730,1562,4
1731,1406,3
1732,3975,8
1733,4317,9
1734,2028,5
1735,303,1
1736,3078,7
1737,2782,6
1738,3059,7
1739,4647,10
1740,4328,9
1741,1037,3
1742,3652,8
1743,4994,10
1744,2759,6
1745,4546,10
1746,2201,5
1747,3607,8
1748,3835,8
1749,2607,6
1750,4201,9
1751,2721,6
1752,4894,10
1753,1763,4
1754,606,2
1755,4135,9
1756,312,1
1757,4671,10
1758,3786,8
1759,4658,10
1760,3826,8
1761,2189,5
1762,3526,8
1763,56,1
1764,2570,6
1765,3414,7
1766,3513,8
1767,2193,5
1768,3647,8
1769,1827,4
1770,4592,10
1771,10,1
1772,562,2
1773,369,1
1774,4406,9
1775,4786,10
1776,3400,7
1777,4544,10
1778,4147,9
1779,3966,8
1780,3438,7
1781,182,1
1782,1812,4
1783,404,1
1784,4743,10
1785,1457,3
1786,2773,6
1787,511,2
1788,2458,5
1789,251,1
1790,2487,6
1791,249,1
1792,4624,10
1793,4612,10
1794,2814,6
1795,2266,5
1796,1866,4
1797,2411,5
1798,2841,6
1799,789,2
1800,1716,4
1801,788,2
1802,2002,4
1803,3075,7
1804,2142,5
1805,3099,7
1806,3025,7
1807,2301,5
1808,1636,4
1809,2442,5
1810,4500,9
1811,1799,4
1812,1263,3
1813,4674,10
1814,2827,6
1815,4445,9
1816,2232,5
1817,4130,9
1818,959,2
1819,3837,8
1820,883,2
1821,1809,4
1822,1589,4
1823,589,2
1824,1438,3
1825,3926,8
1826,405,1
1827,2753,6
1828,559,2
1829,3142,7
1830,595,2
1831,3867,8
1832,1470,3
1833,653,2
1834,3056,7
1835,593,2
1836,4431,9
1837,4608,10
1838,2645,6
1839,4242,9
1840,4398,9
1841,3982,8
1842,4386,9
1843,1783,4
1844,997,2
1845,2125,5
1846,4754,10
1847,2012,4
1848,348,1
1849,692,2
1850,2023,5
1851,1711,4
1852,2863,6
1853,2558,6
1854,1211,3
1855,4544,10
1856,849,2
1857,1631,4
1858,3318,7
1859,2343,5
1860,4650,10
1861,3146,7
1862,424,1
1863,4200,9
1864,1124,3
1865,213,1
1866,2660,6
1867,3514,8
1868,3404,7
1869,812,2
1870,289,1
1871,1690,4
1872,1303,3
1873,4461,9
1874,3871,8
1875,4729,10
1876,2190,5
1877,4023,9
1878,3011,7
1879,355,1
1880,2862,6
1881,924,2
1882,4269,9
1883,3608,8
1884,3751,8
1885,1151,3
1886,1611,4
1887,3115,7
1888,2788,6
1889,6,1
1890,3219,7
1891,3325,7
1892,2377,5
1893,476,2
1894,1547,4
1895,60,1
1896,4249,9
1897,3518,8
1898,4268,9
1899,2667,6
1900,3378,7
1901,3286,7
1902,2184,5
1903,925,2
1904,3786,8
1905,1495,3
1906,1179,3
1907,3559,8
1908,808,2
1909,2746,6
1910,4058,9
1911,2958,6
1912,1292,3
1913,1577,4
1914,4470,9
1915,2185,5
1916,332,1
1917,2431,5
1918,4130,9
1919,884,2
